,game_id,season,date,away_team,away_score,home_team,home_score,result,a_eFGp,a_FTr,a_ORBp,a_TOVp,h_eFGp,h_FTr,h_ORBp,h_TOVp
124,131411150125,1314,2013-11-15,MIL,77,IND,104,1,0.4881386861313868,0.2208029197080291,0.2091428571428571,0.1555274168685311,0.5090016366612111,0.2242225859247135,0.24575,0.157470703125
125,131411150126,1314,2013-11-15,CHI,96,TOR,80,0,0.4552083333333334,0.24375,0.3038333333333333,0.1585919522358355,0.46524064171123,0.2406417112299465,0.3178888888888889,0.1289715034392401
126,131411150127,1314,2013-11-15,PHI,103,ATL,113,1,0.5031289111389237,0.1814768460575719,0.2507777777777777,0.1527533796685251,0.5143721633888049,0.2178517397881997,0.197,0.1237855007473841
127,131411150128,1314,2013-11-15,POR,109,BOS,96,0,0.5117647058823529,0.1808823529411764,0.3035,0.1275214467887781,0.4909847434119278,0.1997226074895977,0.2543333333333333,0.1518731015862301
128,131411150129,1314,2013-11-15,CHO,86,CLE,80,0,0.4353035143769968,0.2875399361022364,0.26375,0.1237447051544429,0.4470967741935484,0.1832258064516129,0.266,0.1368594775188181
129,131411150130,1314,2013-11-15,DAL,104,MIA,110,1,0.5152616279069767,0.2107558139534883,0.2715,0.1440825626591609,0.5894648829431438,0.2491638795986622,0.1815,0.1459673428995546
130,131411150131,1314,2013-11-15,MIN,113,DEN,117,1,0.4836888331242157,0.2547051442910916,0.2624444444444445,0.1279387433144792,0.4703459637561779,0.2174629324546952,0.2767142857142857,0.1294087794975894
131,131411150132,1314,2013-11-15,BRK,100,PHO,98,0,0.4760213143872113,0.2380106571936056,0.2275714285714286,0.147199236155315,0.5091463414634146,0.1875,0.243625,0.156481824925816
132,131411150133,1314,2013-11-15,SAS,91,UTA,82,0,0.5238095238095238,0.1362433862433862,0.2051111111111111,0.1307675951520306,0.4415041782729805,0.2395543175487465,0.3133333333333333,0.1649931168515669
133,131411150134,1314,2013-11-15,MEM,89,LAL,86,0,0.4929467084639498,0.2006269592476489,0.24075,0.1544089699733941,0.4760820045558087,0.1788154897494305,0.2461,0.1430929138282183
134,131411150135,1314,2013-11-15,DET,97,SAC,90,0,0.4774624373956594,0.2253756260434056,0.319,0.1336149852387254,0.4623931623931623,0.2051282051282051,0.238,0.1117348885376355
135,131411160136,1314,2013-11-16,MIA,97,CHO,81,0,0.5877976190476191,0.2589285714285714,0.1752222222222222,0.1469942957437472,0.4369688385269122,0.2747875354107649,0.2641111111111111,0.1269518852354957
136,131411160137,1314,2013-11-16,DAL,108,ORL,100,0,0.5216535433070867,0.2139107611548556,0.2598888888888889,0.1526093201404404,0.5013054830287206,0.171018276762402,0.2621111111111111,0.1529388244702119
137,131411160138,1314,2013-11-16,CLE,103,WAS,96,0,0.4455503512880561,0.180327868852459,0.2615999999999999,0.1378743608473338,0.4935158501440922,0.1714697406340057,0.2465,0.1348132836022109
138,131411160139,1314,2013-11-16,ATL,110,NYK,90,0,0.5175202156334232,0.2277628032345013,0.1936666666666666,0.1252639860863804,0.4792592592592593,0.1659259259259259,0.232375,0.1202667301738509
139,131411160140,1314,2013-11-16,IND,94,CHI,110,1,0.5123188405797101,0.2260869565217391,0.2496666666666667,0.1542740428490722,0.4607142857142857,0.2392857142857142,0.297,0.1567272142742324
140,131411160141,1314,2013-11-16,DEN,111,HOU,122,1,0.4772727272727273,0.2102272727272727,0.281,0.1286505981703025,0.5212628865979382,0.3427835051546392,0.2915,0.1631089993617474
141,131411160142,1314,2013-11-16,BOS,88,MIN,106,1,0.4918952618453865,0.1982543640897755,0.2382,0.1510660129973777,0.4876543209876543,0.244668911335578,0.2618,0.1286790106397678
142,131411160143,1314,2013-11-16,PHI,98,NOP,135,1,0.5022598870056497,0.1841807909604519,0.2453,0.1517817103039084,0.4670619235836628,0.2147562582345191,0.2677777777777778,0.1230203035190009
143,131411160144,1314,2013-11-16,OKC,92,MIL,79,0,0.4854740061162079,0.3058103975535168,0.2911249999999999,0.1585084685643344,0.4740566037735849,0.2044025157232704,0.223875,0.1534036433365292
144,131411160145,1314,2013-11-16,UTA,88,GSW,102,1,0.438195302843016,0.2212608158220024,0.3127999999999999,0.1642826023816439,0.5605226960110041,0.1815680880330124,0.2218888888888889,0.170438211014826
145,131411160146,1314,2013-11-16,BRK,103,LAC,110,1,0.4723076923076923,0.24,0.236375,0.1420585789522313,0.5318302387267905,0.2493368700265252,0.2856666666666666,0.1370026209197045
146,131411170147,1314,2013-11-17,POR,118,TOR,110,0,0.5150918635170603,0.1876640419947506,0.2932222222222222,0.1316493191261776,0.4572289156626506,0.2373493975903614,0.3089999999999999,0.1309190146039238
147,131411170148,1314,2013-11-17,MEM,97,SAC,86,0,0.4868603042876902,0.1964038727524205,0.2381111111111111,0.1475458559782609,0.4654135338345864,0.1984962406015037,0.2395,0.1180876950236175
148,131411170149,1314,2013-11-17,DET,99,LAL,114,1,0.4780701754385965,0.219298245614035,0.31525,0.1309603760913364,0.4780793319415449,0.1701461377870563,0.2318181818181818,0.1408952516680702
149,131411180150,1314,2013-11-18,POR,108,BRK,98,0,0.5156794425087108,0.1835075493612079,0.2932999999999999,0.1305840669174855,0.4727891156462584,0.2421768707482993,0.2429999999999999,0.1372444590110205
